word_count	path	year_folder
865	OKT, 26 2008-Luh Taman.txt	2008
928	OKT, 5 2008-Kangen.txt	2008
1173	SEP, 21 2008-Dadong Sengol.txt	2008
1275	SEP, 7 2008-Makele Lanang.txt	2008
1279	APR, 12 2009-Jro Jepun.txt	2009
1090	APR, 26 2009-Caleg.txt	2009
913	APR, 5 2009-Baang Dogen.txt	2009
1020	AUG, 16 2009-Takamura.txt	2009
959	AUG, 2 2009-Jackris.txt	2009
948	AUG, 9 2009-Mare Lima Bulan.txt	2009
237	DES, 1 2009-UPACARA MAMUNGKAH LAN NGENTEG LINGGIH RING KALIBALANG TABANAN.txt	2009
591	DES, 12 2009-Gejor.txt	2009
488	DES, 12 2009-Puputang Rauh Iriki Nyungkanin Ibu Pertiwi.txt	2009
271	DES, 13 2009-LP3I BALI PINAKA KAMPUS JAMINAN KERJA.txt	2009
211	DES, 13 2009-PAURUKAN MASANG LAN NGELESANG IUD.txt	2009
189	DES, 16 2009-BUPATI KLUNGKUNG MIKUKUHIN DESA PAKRAMAN KARANG NUSA PENIDA.txt	2009
190	DES, 16 2009-NANGLUK MARANA RING SEGARA SESEH.txt	2009
161	DES, 16 2009-SMA 1 KUTA UTARA SEKOLAH BERWAWASAN LINGKUNGAN.txt	2009
127	DES, 17 2009-BAKTI PAKELEM MAJENG WISATAWAN DURA NEGARA.txt	2009
200	DES, 17 2009-DRAMA TARI ARJA SAKING KUANTITAS NGREREDANG.txt	2009
264	DES, 17 2009-KRAMA BATUR LAN SAWEWENGKONNYANE NGLAKSANAYANG NYEPI SEGARA.txt	2009
269	DES, 17 2009-LOMBA PALANG MERAH REMAJA.txt	2009
284	DES, 17 2009-LPD BERPRESTASI NERIMA PENGHARGAAN.txt	2009
234	DES, 17 2009-NYUKAT GENAH RING PURA BATUR LAN DALEM KELOPING.txt	2009
218	DES, 18 2009-BAKTI PANGAYAR RING PURA JATI.txt	2009
190	DES, 18 2009-JALAN SWADAYA TEGAL SARI KARESMIANG.txt	2009
217	DES, 19 2009-Cuntaka Satata Ngelimbak.txt	2009
357	DES, 19 2009-Cuntaka.txt	2009
564	DES, 19 2009-Engon-engonan.txt	2009
270	DES, 19 2009-I Tukang Pacul.txt	2009
466	DES, 19 2009-Lumut-lumut Watulumbang (50) petapan batu gegodan ombak.txt	2009
42	DES, 19 2009-Ramé, pelanggar ijin pondok wisata..txt	2009
605	DES, 19 2009-Satyahati.txt	2009
390	DES, 19 2009-Sugih lan Lacur.txt	2009
261	DES, 2 2009-MAHASABHA III PRATISENTANA BENDESA MANIK MAS.txt	2009
187	DES, 2 2009-PIODALAN RING PURA TIRTA MANDALA BI DENPASAR.txt	2009
165	DES, 2 2009-SULINGGIH KATURANG BUSANA LAN BUKU.txt	2009
1222	DES, 20 2009-Umah Dines.txt	2009
186	DES, 21 2009-BAKTI PANGANYAR RING PURA SEGARA DANU.txt	2009
172	DES, 21 2009-MAPEPADA, NYENUK LAN RSI BOJANA RING PURA BATUR.txt	2009
231	DES, 21 2009-TIRTA YATRA KA LEMPUYANG.txt	2009
195	DES, 25 2009-BULAN MEI 2010 PILKADA LANGSUNG.txt	2009
195	DES, 25 2009-KEBUN RAYA TATUJON WISATA ALAM.txt	2009
240	DES, 25 2009-WISATAWAN KE OBYEK WISATA ALAS KEDATON NGEREREDANG.txt	2009
199	DES, 26 2009-BULAN MEI 2010 LIMANG KABUPATEN KOTA NGLAKSANAYANG PILKADA LANGSUNG.txt	2009
388	DES, 26 2009-Dirah; Pasidikarang Anak Lanang.txt	2009
